paper_id,model_id,apa_citation,is_multimodal,modality_visual,modality_auditory,modality_somatosensory,task_type_active,task_type_pasive,technique_name,visual_pictures,visual_videos,visual_words,visual_other,auditory_miusic,auditory_other,technique_clasif_multiple_techniques,technique_clasif_driving,technique_clasif_Imagination techniques /memory recall,technique_clasif_Social interactions,technique_clasif_Virtual Reality,technique_clasif_Meditation,technique_clasif_Reading,technique_clasif_UX,technique_clasif_TEM clips (Tactile Enhanced Multimedia),technique_clasif_Videogame,technique_clasif_Puzzle,technique_clasif_Other,technique_description,elicitation_duration,elicitation_duration_range,elicitation_duration_mean,elicitation_duration_median
5,11,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384",-,x,-,-,-,x,IAPS,X,,,-,-,-,-,,-,-,-,,,,,,,-,-,6s,-,-,-
6,12,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Multimodal Dyadic Behavior (MMDB),-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,13,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,14,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,15,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,16,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,17,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,18,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
6,19,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,-,-,x,x,-,Rapid-ABC,-,,,-,-,-,-,,-,x,-,,,,,,,-,"A set of semi-structured play interactions with adults, known as
Multimodal Dyadic Behavior (MMDB), was designed for the experimental sessions to stimulate different
emotions; event 1: ―greeting‖, event 2: ―playing with a ball‖, event 3: ―looking at a book and turning its
pages‖, event 4: ―using the book as a hat‖, and event 5: ―tickling‖. These experiments are aimed at
analyzing and decoding the children’s social communicative behavior at early ages and are consistent
with the Rapid-ABC play protocol",-,3m-5m,-,-
7,20,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,21,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,22,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,23,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,24,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,25,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,26,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,27,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,28,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,29,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,30,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,31,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,32,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,33,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,34,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,35,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,36,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,37,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,38,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
7,39,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,-,,-,-,-,-
8,40,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",,,,,,,,,,,,,,,,,,,,,,,,,,"The intention is to collect data from users in their natural environment, over a prolonged period.",-,-,-,-
8,41,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",x,x,x,x,x,-,-,,,,,,,,,,,,,,,,,,,"The intention is to collect data from users in their natural environment, over a prolonged period.",-,-,-,-
8,42,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",,,,,x,,,,,,,,,,,,,,,,,,,,,"The intention is to collect data from users in their natural environment, over a prolonged period.",-,-,-,-
9,43,"Amalan, S., Shyam, A., Anusha, A. S., Preejith, S. P., Tony, A., Jayaraj, J., & Mohanasankar, S. (2018). Electrodermal Activity based Classification of Induced Stress in a Controlled Setting. MeMeA 2018 - 2018 IEEE International Symposium on Medical Measurements and Applications, Proceedings. Scopus. https://doi.org/10.1109/MeMeA.2018.8438703",x,-,-,,x,-,Trier Social Stress Test (TSST),-,,,-,-,-,x,,-,-,-,-,,,,,,-,"A participant is given 3-5 minutes to prepare for a 5-minute presentation, followed by a 5-minute mental arithmetic task of counting numbers backwards continuously in large steps. The unanticipated element is that a large audience enters the room after the preparatory phase trying to induce stress in the form of stage fright. In the end, the participant is briefed and made to relax.",15m,-,-,-
10,44,"Machot, F. A., Ali, M., Ranasinghe, S., Mosa, A. H., & Kyandoghere, K. (2018). Improving subject-independent human emotion recognition using electrodermal activity sensors for active and assisted living. 222–228. Scopus. https://doi.org/10.1145/3197768.3201523",-,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,,,,,,-,-,-,-,-,-
11,45,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",x,x,x,-,-,x,-,,,,,,,,,,,,,,,,,,,,,,,
11,46,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,47,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",x,x,x,-,x,-,-,-,,,-,-,-,x,x,-,-,-,-,,,,,,-,"Precise tuning of driving scenario was performed on speed dreams for neutral, stress,
and anger stimulation. Neutral scenario was tuned to promote casual driving at a speed of
80 km/h (Chen, 2013). Driving track at this speed was composed of a wide circular
roadway with good vision. Stress driving was performed at a snowy mountain track with
narrow road and poor vision. Stress was triggered by causing the vehicle to drift via
sudden turning (Cohen and Wills, 1985; Yamaguchi et al., 2006; Öz et al., 2010; Chen,
2013). Anger stimulation places time constraint on the driver. The drivers also face
demanding situations, such as tailgating, sudden over-taking, and reckless driving
(Stephens and Groeger, 2006; Laing, 2010). Neutral and stress driving were performed
monotonously, whereas angry driving was performed simultaneously with four artificial
intelligence opponents.
The subjects were provided with three minutes of training period to familiarise them
with the control of driving unit. The subjects then performed three sets of control,
driving, and recovery sessions. Each session was composed of a pre-designed
emotion-stimulating scenario. In the control and recovery sessions, the subjects were
required to close their eyes and rest with their palms facing upward",50m,-,-,-
12,48,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",x,x,x,-,x,-,-,-,,,-,-,-,x,x,-,-,-,-,,,,,,-,"Precise tuning of driving scenario was performed on speed dreams for neutral, stress,
and anger stimulation. Neutral scenario was tuned to promote casual driving at a speed of
80 km/h (Chen, 2013). Driving track at this speed was composed of a wide circular
roadway with good vision. Stress driving was performed at a snowy mountain track with
narrow road and poor vision. Stress was triggered by causing the vehicle to drift via
sudden turning (Cohen and Wills, 1985; Yamaguchi et al., 2006; Öz et al., 2010; Chen,
2013). Anger stimulation places time constraint on the driver. The drivers also face
demanding situations, such as tailgating, sudden over-taking, and reckless driving
(Stephens and Groeger, 2006; Laing, 2010). Neutral and stress driving were performed
monotonously, whereas angry driving was performed simultaneously with four artificial
intelligence opponents.
The subjects were provided with three minutes of training period to familiarise them
with the control of driving unit. The subjects then performed three sets of control,
driving, and recovery sessions. Each session was composed of a pre-designed
emotion-stimulating scenario. In the control and recovery sessions, the subjects were
required to close their eyes and rest with their palms facing upward",50m,-,-,-
12,49,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",x,x,x,-,x,-,-,-,,,-,-,-,x,x,-,-,-,-,,,,,,-,"Precise tuning of driving scenario was performed on speed dreams for neutral, stress,
and anger stimulation. Neutral scenario was tuned to promote casual driving at a speed of
80 km/h (Chen, 2013). Driving track at this speed was composed of a wide circular
roadway with good vision. Stress driving was performed at a snowy mountain track with
narrow road and poor vision. Stress was triggered by causing the vehicle to drift via
sudden turning (Cohen and Wills, 1985; Yamaguchi et al., 2006; Öz et al., 2010; Chen,
2013). Anger stimulation places time constraint on the driver. The drivers also face
demanding situations, such as tailgating, sudden over-taking, and reckless driving
(Stephens and Groeger, 2006; Laing, 2010). Neutral and stress driving were performed
monotonously, whereas angry driving was performed simultaneously with four artificial
intelligence opponents.
The subjects were provided with three minutes of training period to familiarise them
with the control of driving unit. The subjects then performed three sets of control,
driving, and recovery sessions. Each session was composed of a pre-designed
emotion-stimulating scenario. In the control and recovery sessions, the subjects were
required to close their eyes and rest with their palms facing upward",50m,-,-,-
12,50,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",x,x,x,-,x,-,-,-,,,-,-,-,x,x,-,-,-,-,,,,,,-,"Precise tuning of driving scenario was performed on speed dreams for neutral, stress,
and anger stimulation. Neutral scenario was tuned to promote casual driving at a speed of
80 km/h (Chen, 2013). Driving track at this speed was composed of a wide circular
roadway with good vision. Stress driving was performed at a snowy mountain track with
narrow road and poor vision. Stress was triggered by causing the vehicle to drift via
sudden turning (Cohen and Wills, 1985; Yamaguchi et al., 2006; Öz et al., 2010; Chen,
2013). Anger stimulation places time constraint on the driver. The drivers also face
demanding situations, such as tailgating, sudden over-taking, and reckless driving
(Stephens and Groeger, 2006; Laing, 2010). Neutral and stress driving were performed
monotonously, whereas angry driving was performed simultaneously with four artificial
intelligence opponents.
The subjects were provided with three minutes of training period to familiarise them
with the control of driving unit. The subjects then performed three sets of control,
driving, and recovery sessions. Each session was composed of a pre-designed
emotion-stimulating scenario. In the control and recovery sessions, the subjects were
required to close their eyes and rest with their palms facing upward",50m,-,-,-
13,51,"Setyohadi, D. B., Kusrohmaniah, S., Gunawan, S. B., Pranowo, & Prabuwono, A. S. (2018). Galvanic skin response data classification for emotion detection. International Journal of Electrical and Computer Engineering, 8(5), 4004–4014. Scopus. https://doi.org/10.11591/ijece.v8i5.pp4004-4014",x,x,x,-,x,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-
14,52,"Soleymani, M., & Mortillaro, M. (2018). Behavioral and physiological responses to visual interest and appraisals: Multimodal analysis and automatic recognition. Frontiers in ICT, 5(JUL). Scopus. https://doi.org/10.3389/fict.2018.00017",-,x,-,-,-,x,Flickr,x,-,,-,-,-,-,-,-,-,-,-,,,,,,-,"One hundred and thirty-two micro-videos in GIF format from Video2GIF dataset (Gygli et al., 2016) were randomly selected and annotated on similar scales on MTurk. In our experiments, we displayed the images in full screen mode. GIFs do not have adequate resolution when displayed in a full-screen mode. Hence, we extracted the higher quality equivalent from the source YouTube videos and re-encoded them to our desired format (1,920 × 1,080) with no sound. Forty micro-videos were selected to cover the whole spectrum in terms of average interestingness, pleasantness and coping potential. We opted for using GIFs due to their short duration, unimodality (only visual) and higher level of engagement (Bakhshi et al., 2016). GIFs are not always encoded with the same frame rate as the original video and contain loopiness, therefore we re-encoded them in 1.5x speed and repeated the sequence twice. Micro-videos were in average 11 s long.",25m,-,-,-
