paper_id,model_id,apa_citation,year,affective_model,is_classifier,class_model_output_number,class_model_output_categories,class_Logistic Regression,class_Support Vector Machine (SVM),class_k-Nearest Neighbor (k-NN),class_Quadratic discrimant clasifier (QDA),class_Linear Discriminant Analysis (LDA),class_Tree based models,class_Naive Bayes,class_AVG,class_LASSO-T,class_Ridge-T,class_LASSO-VAR,class_Ridge-VAR,class_TPA,class_HDC-MER,class_HMM,class_Gradient boostingclass,class_Fully connected NN (or Multi layer perceptron),class_Convolutional NN,class_Recurrent NN,class_GRU (Gated Recurrent Units),class_LSTM,class_Cellular Neural Networks,class_AdaBoost DT,class_Quantum Neural Network (QNN),class_Probabilistic Neural Network (PNN),class_Backpropagation (BP),class_Extreme Learning Machine (ELM),class_ANN,class_Spiking Deep Belief Network (SDBN),"class_radial basis function
(RBF) ",class_1R rule,class_JRip,is_regressor,regre_model_output_number,regre_model_output_dimensions,regre_Linear Regression,regre_Support Vector Regression (SVR),regre_Polynomial Regression,regre_Ridge regression,regre_Logistic regression,regre_knn,regre_decision tree,regre_Multilayer regression,regre_Boosted regression trees,regre_Fully connected NN (or Multi layer perceptron),regre_Convolutional NN,regre_Recurrent NN,regre_LSTM,regre_PNN (probabilistic neural network),accuracy,precision,f-measure,recall-sensitivity-true_positive_rate,specificity_true-negative-rate,false-positive-rate,false-negative-rate,roc-auc,R2,R,MAE-(Mean-Absolute-Error),Concordance-Correlation-Coefficient-(CCC),Spearman’s-ranking-correlation,Mean-square-error-(MSE),Root-Mean-Square-Error-(RMSE),Pearson-Correlation Coefficient-(r),unweighted-average-recall-(UAR),Matthews-Correlation-Coefficient,G-mean-(Geometric-mean)
5,11,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384",2016,categorical,,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,x,,valence,-,-,x,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.98,,,,,,,,,
6,12,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"acceptance, boredom",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,75,81,,71,,,,75,,,,,,,,,,,
6,13,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"acceptance, joy",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,84,85.00,,84,-,-,-,89,-,-,-,,,,,,,,
6,14,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"boredom, joy",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,90,82,,88,-,-,-,87,-,-,-,,,,,,,,
6,15,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,3,"acceptance, joy, boredom",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,69,,,,-,-,-,,-,-,-,,,,,,,,
6,16,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"acceptance, boredom",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,70,71,,70,-,-,-,63,-,-,-,,,,,,,,
6,17,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"acceptance, joy",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,82,80,-,82,-,-,-,81,-,-,-,,,,,,,,
6,18,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,2,"boredom, joy",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,85,77,,85,-,-,-,86,-,-,-,,,,,,,,
6,19,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018,categorical,,3,"baseline, stress, amusement",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,66,-,,,-,-,-,,-,-,-,,,,,,,,
7,20,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,54.36,-,45.48,-,-,-,,-,-,,-,,,,,,,,
7,21,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,56.67,-,45.74,-,-,-,,-,-,,-,,,,,,,,
7,22,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,59.85,-,49.06,-,-,-,,-,-,,-,,,,,,,,
7,23,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,62.32,-,42.72,-,-,-,,-,-,,-,,,,,,,,
7,24,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,54.98,-,45.2,-,-,-,,-,-,,-,,,,,,,,
7,25,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,48.49,-,43.88,-,-,-,,-,-,,-,,,,,,,,
7,26,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,45,-,42.4,-,-,-,,-,-,,-,,,,,,,,
7,27,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,54.06,-,48.33,-,-,-,,-,-,,-,,,,,,,,
7,28,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,categorical,,3,"baseline, stress, amusement",-,-,-,-,x,-,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,67.07,-,46.83,-,-,-,,-,-,,-,,,,,,,,
7,29,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,40.03,-,37.26,-,-,-,,-,-,,-,,,,,,,,
7,30,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,76.21,-,70.95,-,-,-,,-,-,,-,,,,,,,,
7,31,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,76.29,-,70.88,-,-,-,,-,-,,-,,,,,,,,
7,32,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,x,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,79.71,-,75.34,-,-,-,,-,-,,-,,,,,,,,
7,33,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,78.08,-,69.86,-,-,-,,-,-,,-,,,,,,,,
7,34,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,,-,-,-,-,73.13,-,68.3,-,-,-,,-,-,,-,,,,,,,,
7,35,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,73.55,-,69.88,-,-,-,,-,-,,-,,,,,,,,
7,36,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,77.51,-,73.63,-,-,-,,-,-,,-,,,,,,,,
7,37,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,75.5,-,71.97,-,-,-,,-,-,,-,,,,,,,,
7,38,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,-,-,x,-,-,,,,,,,,,,-,,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,81.7,-,74.51,-,-,-,,-,-,,-,,,,,,,,
7,39,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018,dimensional,,2,"stress,  not stress",-,-,x,-,-,x,-,,,,,,,,,,-,,-,,-,,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,69.73,-,66.64,-,-,-,,-,-,,-,,,,,,,,
8,40,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018,dimensional,,2,"relaxed, stress",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-,54,-,65,-,55,35,-,-,,-,,,,,,,,
8,41,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018,categorical,,2,"relaxed, stress",-,-,-,x,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-,52,-,80,-,73,20,-,-,,-,,,,,,,,
8,42,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018,dimensional,,2,"relaxed, stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-,56,-,56,-,43,44,-,-,,-,,,,,,,,
9,43,"Amalan, S., Shyam, A., Anusha, A. S., Preejith, S. P., Tony, A., Jayaraj, J., & Mohanasankar, S. (2018). Electrodermal Activity based Classification of Induced Stress in a Controlled Setting. MeMeA 2018 - 2018 IEEE International Symposium on Medical Measurements and Applications, Proceedings. Scopus. https://doi.org/10.1109/MeMeA.2018.8438703",2018,dimensional,,2,"stress, not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,,,,94,93,,,,,,,,,,,,,,
10,44,"Machot, F. A., Ali, M., Ranasinghe, S., Mosa, A. H., & Kyandoghere, K. (2018). Improving subject-independent human emotion recognition using electrodermal activity sensors for active and assisted living. 222–228. Scopus. https://doi.org/10.1145/3197768.3201523",2018,dimensional,,4,"HAHV, HALV, LAHV, LALV",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,68,75,-,-,-,-,-,-,,,,,,,,
11,45,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",2018,dimensional,,2,"LA, HA",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,-,67,63,64,,,,,,,,,,,,,,,
11,46,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",2018,dimensional,,2,"LV, HV",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,-,58,35,50,,,,,,,,,,,,,,,
12,47,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",2018,categorical,,2,"neutral, stress",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,,,,,,,,
12,48,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",2018,categorical,,2,"neutral, anger",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,,,,,,,,
12,49,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",2018,categorical,,2,"stress, anger",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,,,,,,,,
12,50,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",2018,categorical,,3,"neutral, stress, anger",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,77,-,-,-,-,-,-,-,-,-,-,,,,,,,,
13,51,"Setyohadi, D. B., Kusrohmaniah, S., Gunawan, S. B., Pranowo, & Prabuwono, A. S. (2018). Galvanic skin response data classification for emotion detection. International Journal of Electrical and Computer Engineering, 8(5), 4004–4014. Scopus. https://doi.org/10.11591/ijece.v8i5.pp4004-4014",2018,dimensional,,3,"neutral, negative, positive",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,-,-,-,-,-,,,,,,,-,-,-,-,-,75.65,-,-,-,-,-,-,-,-,-,-,,,,,,,,
